NUMERO_REGISTRO;PRODUTO_TECNICO_MARCA_COMERCIAL;INGREDIENTE_ATIVO(GRUPO_QUIMICI)(CONCENTRACAO);CLASSE;TITULAR_REGISTRO;EMPRESA_<PAIS>_TIPO;CLASSIFICACAO_TOXICOLOGICA;CLASSIFICACAO_AMBIENTAL
11519;Glufosinate Técnico Nortox;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Nortox S.A. - Arapongas; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Shijiazhuang Richem Co., LTD<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Shandong Hailir Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Nanjing Red Sun Biochemistry Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Shandong Binnong Technology CO., LTD<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Shandong Eshung Indust. Co. Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Ningxia Wynca Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
TC04320;Glufosinate Técnico Nortox II;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida;Nortox S.A. - Arapongas; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
37519;Glufosinate Técnico Nortox III;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Nortox S.A. - Arapongas; (Lier Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Inner Mongolia Miraculous Crop Science Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
36219;Glufosinate-Ammonium Tecnico RTM;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida;Albaugh Agro Brasil Ltda.- São Paulo; (Lier Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
TC05326;Glufosinate-Ammonium Técnico Binnong;Glufosinato - sal de amônio (homoalanina substituída) (960 g/kg);Herbicida/Regulador de Crescimento;Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.; (Shandong Binnong Technology CO., LTD<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
11815;Glufosinate-Ammonium Técnico GT;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida;Yonon Brasil Defensivos Agricolas Ltda; (Yongnong Biosciences Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
42519;Glufosinate-Ammonium Técnico Lier;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Foison do Brasil Defensivos Agrícolas e Comércio Ltda; (Lier Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
TC04920;Glufosinate-Ammonium Técnico Rotam;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Albaugh Agro Brasil Ltda.- São Paulo; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
2917;Glufosinate-Ammonium Técnico UPL;Glufosinato - sal de amônio (homoalanina substituída) (960 g/kg);Herbicida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (UPL Limited - Vapi<ÍNDIA>FABRICANTE);III;III
TC15623;Glufosinato - Sal de Amônio Técnico Agrolead;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida/Regulador de Crescimento;Agro-Lead Brasil Assessoria em Produtos Agrícolas Ltda - EPP;;PT;III
