NUMERO_REGISTRO;PRODUTO_TECNICO_MARCA_COMERCIAL;INGREDIENTE_ATIVO(GRUPO_QUIMICI)(CONCENTRACAO);CLASSE;TITULAR_REGISTRO;EMPRESA_<PAIS>_TIPO;CLASSIFICACAO_TOXICOLOGICA;CLASSIFICACAO_AMBIENTAL
TC26622;Azoxistrobin Técnico  Tecnomyl;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu; (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
25316;Azoxistrobin Técnico CCAB;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;CCAB Agro S.A.   São Paulo; (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
12011;Azoxistrobin Técnico Cheminova;Azoxistrobina (estrobilurina) (970 g/kg);Fungicida;FMC Química do Brasil Ltda. - Campinas/SP;;II;II
TC23125;Azoxistrobin Técnico GSP;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;GSP Agroquímica do Brasil Ltda - Porto Alegra/RS; (GSP Crop Science Limited - Nandesari<ÍNDIA>FABRICANTE);PT;II
7817;Azoxistrobin Técnico Globachem;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Globachem Proteção de Cultivos do Brasil Ltda. - Campinas/SP; (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
TC00424;Azoxistrobin Técnico RDB;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Albaugh Agro Brasil Ltda.- São Paulo; (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
17419;Azoxistrobin Técnico Tecnomyl II;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Anhui Guangxin Agrochemical Co., Ltd. - Anhui<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
19218;Azoxistrobin Técnico Tide;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Tide do Brasil Ltda - Porto Alegre/RS; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
20217;Azoxistrobina Ascenza Técnico III;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Ascenza Brasil Ltda - Hortolândia/SP; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
31619;Azoxistrobina Tecnica Albaugh;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Albaugh Agro Brasil Ltda.- São Paulo; (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
26316;Azoxistrobina Tecnica ME2;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
25416;Azoxistrobina Técnica Agristar;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Albaugh Agro Brasil Ltda.- São Paulo; (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
TC09023;Azoxistrobina Técnica Fersol;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Ameribrás Indústria e Comércio Ltda.; (Anhui Guangxin Agrochemical Co., Ltd. - Anhui<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC08823;Azoxistrobina Técnico Ada BR;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Adama Brasil S.A.- Londrina/PR; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC00220;Azoxistrobina Técnico Adama ;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Adama Brasil S.A.- Londrina/PR; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 02<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC08120;Azoxistrobina Técnico Adama 2;Azoxistrobina (estrobilurina) (969 g/kg);Fungicida;Adama Brasil S.A.- Londrina/PR; (Yongnong Biosciences Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC05924;Azoxistrobina Técnico Adama BR;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Adama Brasil S.A.- Londrina/PR; (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
20417;Azoxistrobina Técnico Adama Brasil;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Adama Brasil S.A.- Londrina/PR; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
31319;Azoxistrobina Técnico Agrisor;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;CAC Quimica do Brasil Ltda;;III;II
TC05124;Azoxistrobina Técnico Agrolead;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Agro-Lead Brasil Assessoria em Produtos Agrícolas Ltda - EPP; (Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit II<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
7112;Azoxistrobina Técnico Alta;Azoxistrobina (estrobilurina) (900 g/kg);Fungicida;ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba; (Lianyungang Avilive Chemical Co, Ltd. - Jiangsu <CHINA, REPUBLICA POPULAR>FABRICANTE);II;II
18218;Azoxistrobina Técnico Alta II;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba; (Shanghai Heben-Eastsun Medicaments Co., Ltd - Jinshan<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
TC07125;Azoxistrobina Técnico Alta III;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit II<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
31419;Azoxistrobina Técnico Brasil BR;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Adama Brasil S.A.- Londrina/PR; (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
TC18925;Azoxistrobina Técnico Cropchem IV;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Cropchem Ltda - Porto Alegre; (Huikwang Corporation-Tainan<TAIWAN (ILHA FORMOSA)>FABRICANTE);PT;II
TC04521;Azoxistrobina Técnico D'Verde;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;DVerde Comércio, Importação e Exportação Ltda.; (Hebei Veyong Bio-Chemical Co., Ltd. (Unidade II)<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC14822;Azoxistrobina Técnico HS;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;AllierBrasil Agro Ltda.; (Zhejiang Hisun Chemical Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
31119;Azoxistrobina Técnico HX-CropChem;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Cropchem Ltda - Porto Alegre; (Hextar Chemicals Sdn. Bhd.<MALÁSIA>FABRICANTE) +  (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Hebei Veyong Bio-Chemical Co., Ltd. (Unidade II)<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Anhui Guangxin Agrochemical Co., Ltd. - Anhui<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
16319;Azoxistrobina Técnico Ouro Fino;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Ouro Fino Química S.A. - Uberaba; (Lianyungang Avilive Chemical Co, Ltd. - Jiangsu <CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Anhui Guangxin Agrochemical Co., Ltd. - Anhui<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (GSP Crop Science Limited - Nandesari<ÍNDIA>FABRICANTE);III;II
01518;Azoxistrobina Técnico Oxon;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Oxon Brasil Defensivos Agrícolas Ltda.; (Taizhou Bailly Chemical Co., Limited<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Bhagiradha Chemicals & Industries Limited<ÍNDIA>FABRICANTE);III;II
20517;Azoxistrobina Técnico Oxon II;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Oxon Brasil Defensivos Agrícolas Ltda.; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
21019;Azoxistrobina Técnico Oxon III;Azoxistrobina (estrobilurina) (970 g/kg);Fungicida;Oxon Brasil Defensivos Agrícolas Ltda.; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
39119;Azoxistrobina Técnico Rainbow ;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS ; (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 02<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
31719;Azoxistrobina Técnico SH;Azoxistrobina (estrobilurina) (970 g/kg);Fungicida;Sinochem Agro do Brasil Ltda. ; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
01718;Azoxistrobina Técnico SNB;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Oxon Brasil Defensivos Agrícolas Ltda.; (Taizhou Bailly Chemical Co., Limited<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Bhagiradha Chemicals & Industries Limited<ÍNDIA>FABRICANTE);III;II
31819;Azoxystrobin HV Técnico Helm;Azoxistrobina (estrobilurina) (970 g/kg);Fungicida;Helm do Brasil Mercantil - São Paulo/SP; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
05418;Azoxystrobin TB Técnico Helm ;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Helm do Brasil Mercantil - São Paulo/SP; (Taizhou Bailly Chemical Co., Limited<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Bhagiradha Chemicals & Industries Limited<ÍNDIA>FABRICANTE);III;II
44519;Azoxystrobin Technical UPL BR;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
29618;Azoxystrobin Tecnico Nortox IV;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Nortox S.A. - Arapongas; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Bhagiradha Chemicals & Industries Limited<ÍNDIA>FABRICANTE);III;II
31219;Azoxystrobin Tecnico Rotam;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Albaugh Agro Brasil Ltda.- São Paulo; (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
1598;Azoxystrobin Técnico;Azoxistrobina (estrobilurina) (930 g/kg);Fungicida;Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;;III;II
TC07420;Azoxystrobin Técnico 980 AGCN;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP; (Shandong Weifang Shuangxing Pesticide Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
23319;Azoxystrobin Técnico Agrogill;Azoxistrobina (estrobilurina) (986.11 g/kg);Fungicida;Agrogill Chemicals Ltda; (Yancheng Limin Chemical Co. Ltd - Yandu<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
01618;Azoxystrobin Técnico Bailly;Azoxistrobina (estrobilurina) (970 g/kg);Fungicida;Proregistros Registros de Produtos Ltda - EPP ;;III;II
TC10724;Azoxystrobin Técnico CCAB II;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;CCAB Agro S.A.   São Paulo; (Hebei Veyong Bio-Chemical Co., Ltd. (Unidade II)<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Shandong Hailir Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC08224;Azoxystrobin Técnico Coromandel;Azoxistrobina (estrobilurina) (970 g/kg);Fungicida;Coromandel Brasil Ltda.- Cotia/SP; (Coromandel Fertilizers Limited (Coromandel International Limited) - Ankleshwar<ÍNDIA>FABRICANTE);PT;II
TC30325;Azoxystrobin Técnico FB;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Agroallianz S.A; (Anhui Guangxin Agrochemical Co., Ltd. - Anhui<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
27419;Azoxystrobin Técnico FB II;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Agroallianz S.A; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
TC10324;Azoxystrobin Técnico FB III;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Agroallianz S.A; (Shandong Hailir Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC25725;Azoxystrobin Técnico Fuhua;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Fuhua Brasil Comercio de Produtos Quimicos Ltda. ; (Sichuan Leshan Fuhua Tongda Agro-Chemical Technology Co Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC12724;Azoxystrobin Técnico HG;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Hailir Brasil Defensivos Agricolas Ltda - São Paulo/SP; (Shandong Hailir Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC18424;Azoxystrobin Técnico Limin;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Limin Biotechnology do Brasil Ltda - São Paulo/SP; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
14111;Azoxystrobin Técnico Milenia;Azoxistrobina (estrobilurina) (965.4 g/kg);Fungicida;Adama Brasil S.A.- Londrina/PR; (Adama Makhteshim Ltd - BeerSheva<ISRAEL>FABRICANTE) +  (Adama Brasil S.A. - Taquari<BRASIL>FABRICANTE) +  (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Bhagiradha Chemicals & Industries Ltd - Escritorio<ÍNDIA>FABRICANTE);III;II
18419;Azoxystrobin Técnico Nortox;Azoxistrobina (estrobilurina) (970 g/kg);Fungicida;Nortox S.A. - Arapongas; (Anhui Guangxin Agrochemical Co., Ltd. - Anhui<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
TC00120;Azoxystrobin Técnico Nortox BR;Azoxistrobina (estrobilurina) (970 g/kg);Fungicida;Nortox S.A. - Arapongas; (Anhui Futian Agrochemical Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Hebei Veyong Bio-Chemical Co., Ltd. (Unidade II)<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC09123;Azoxystrobin Técnico Nortox CH;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Nortox S.A. - Arapongas; (Zhejiang Udragon Bioscience Co. Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC06724;Azoxystrobin Técnico Proventis II;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Proventis Lifescience Defensivos Agrícolas Ltda; (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC01124;Azoxystrobin Técnico SCH;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.; (Hebei Veyong Bio-Chemical Co., Ltd. (Unidade II)<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
20317;Azoxystrobin Técnico Sino-Agri;Azoxistrobina (estrobilurina) (975 g/kg);Fungicida;Lemma Agronegócios Importação e Exportação Ltda.; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
6414;Azoxystrobin Técnico UPL Brasil;Azoxistrobina (estrobilurina) (956 g/kg);Fungicida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (Jingbo Agrochemicals Technology Co Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (UPL Limited - Unit 1 - Ankleshwar<ÍNDIA>FABRICANTE);II;II
TC11321;Azoxystrobin Técnico Uniphos;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (United Phosphorus LTD <ÍNDIA>FABRICANTE);PT;II
00819;Azoxystrobin Técnico YNG;Azoxistrobina (estrobilurina) (969 g/kg);Fungicida;Yonon Brasil Defensivos Agricolas Ltda; (Yongnong Biosciences Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);II;II
31519;Azoxystrobin Técnico ZS;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Zhongshan Química do Brasil - Sorocaba/SP; (CAC Nantong Chemical Co. Ltd. - Jiangsu<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Xiangshui Zhongshan Bioscience Co. Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);III;II
5414;Azoxystrobina Técnica Sumitomo;Azoxistrobina (estrobilurina) (980 g/kg);Fungicida;Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE; (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);II;II
188591;Bactospeine Técnico;Bacillus thuringiensis (Produto Microbiológico) (900 g/kg);Inseticida Microbiológico;Solvay do Brasil S.A.; (Biochem Products S/A<BÉLGICA>FABRICANTE);IV;IV
TC24322;Barus Técnico;Tiafenacil (Uracila) (950 g/kg);Herbicida;ISK Biosciences do Brasil Defensivos Agricolas Ltda; (FarmHannong Co. Ltd.  - Unidade Banwol<CORÉIA (DO SUL), REPÚBLICA DA>FABRICANTE);Não;III
1188898;Baytroid Técnico;ciflutrina (piretróide) (900 g/kg);Inseticida;Bayer S.A. - São Paulo/ SP; (Mitchell Cotts Chemicals Ltd<INGLATERRA>FABRICANTE);II;II
09501;Belcocel Técnico;Cloreto de clormequate (amônio quaternário) (640 g/kg);Regulador de Crescimento;Taminco do Brasil Produtos Químicos Ltda; (Taminco N.V.<BÉLGICA>FABRICANTE);III;III
1909;Belt Técnico;Flubendiamida (Diamida do ácido ftálico) (690 g/kg);Inseticida;Bayer S.A. - São Paulo/ SP; (Bayer AG - Dormagen<ALEMANHA>FABRICANTE) +  (PI Industries Limited - Panoli<ÍNDIA>FABRICANTE);I;II
04600;Benalaxyl Técnico;benalaxil (acilalaninato) (940 g/kg);Fungicida;FMC Química do Brasil Ltda. - Campinas/SP; (Isagro S.p.A. - Milano (Escritorio 1)<ITÁLIA>FABRICANTE);III;III
14707;Benalaxyl Técnico FMC;benalaxil (acilalaninato) (940 g/kg);Fungicida;FMC Química do Brasil Ltda. - Campinas/SP; (Isagro S.p.A. - Milano (Escritorio 1)<ITÁLIA>FABRICANTE) +  (PI Industries Ltd. (Industrial Plant)  Panoli<ÍNDIA>FABRICANTE);III;III
TC02523;Benalaxyl-M Técnico Isagro;benalaxil (acilalaninato) (950 Kg);Fungicida;Gowan Produtos Agrícolas Ltda. - Matriz Campinas/SP; (PI Industries Limited - Panoli<ÍNDIA>FABRICANTE);Não;II
TC06323;Benalaxyl-M Técnico Syncrom;benalaxil (acilalaninato) (950 g/kg);Fungicida;Syncrom Assessoria e Comércio de Produtos Agropecuários  Ltda.; (PI Industries Ltd. (Industrial Plant)  Panoli<ÍNDIA>FABRICANTE);Não;II
808694;Bentazon Técnico;bentazona (benzotiadiazinona) (483 g/kg);Herbicida;Basf Agricultural Solutions Brasil Ltda  SãoPaulo/SP; (Basf S.A.  Guaratinguetá<BRASIL>FABRICANTE) +  (BASF SE  - Ludwigshafen<ALEMANHA>FABRICANTE);III;III
1294;Bentazon Técnico Basf;bentazona (benzotiadiazinona) (483 g/kg);Herbicida;Basf Agricultural Solutions Brasil Ltda  SãoPaulo/SP; (Basf S.A.  Guaratinguetá<BRASIL>FABRICANTE) +  (BASF SE  - Ludwigshafen<ALEMANHA>FABRICANTE);III;III
TC00525;Benzoato de Emamectina Pré-Mistura;Benzoato de Emamectina (avermectina) (900 g/kg);Inseticida;Syngenta Proteção de Cultivos Ltda.  São Paulo/SP; (Syngenta Nantong Crop Protection Limited - Nantong<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Inner Mongolia New Veyong Bio-Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Qilu Pharmaceutical (Inner Mongolia) Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Syngenta Crop Protection AG<SUÍCA>FABRICANTE) +  (Shandong Cynda Chemical Co. LTD<CHINA, REPUBLICA POPULAR>FABRICANTE);II;II
29117;Benzoato de Emamectina Técnico ;Benzoato de Emamectina (avermectina) (950 g/kg);Inseticida;Syngenta Proteção de Cultivos Ltda.  São Paulo/SP; (Syngenta Nantong Crop Protection Limited - Nantong<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Inner Mongolia New Veyong Bio-Chemical CO.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Qilu Pharmaceutical (Inner Mongolia) Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);I;II
TC07426;Benzoato de Emamectina Técnico Ouro Fino;Benzoato de Emamectina (avermectina) (950 g/kg);Inseticida;Ouro Fino Química S.A. - Uberaba; (Daqing Jefene Bio-Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
2314;Benzovindiflupir Técnico;Benzovindiflupyr (pirazol carboxamida) (960 g/kg);Fungicida;Syngenta Proteção de Cultivos Ltda.  São Paulo/SP; (Syngenta Crop Protection Münchwilen AG - Münchwilen<SUÍCA>FABRICANTE) +  (Syngenta Crop Protection AG<SUÍCA>FABRICANTE) +  (Syngenta Nantong Crop Protection Limited - Nantong<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (CTVA Proteção de Cultivos Ltda - Barueri (Tamboré)<BRASIL>FABRICANTE);II;II
04402;Beta-Cipermetrina Técnica UPL;Beta-Cipermetrina (piretróide) (970 g/kg);Inseticida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (Agro-Chemie LTD<HUNGRIA, REPUBLICA DA>FABRICANTE);I;II
TC06621;Bifenthrin S Técnico Helm;bifentrina (piretróide) (980 g/kg);Inseticida;Helm do Brasil Mercantil - São Paulo/SP; (Shandong United Pesticide Industry Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
8716;Bifenthrin Technical UPL;bifentrina (piretróide) (980 g/kg);Acaricida/Inseticida;UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP ; (UPL Limited - Vapi<ÍNDIA>FABRICANTE);II;II
TC11820;Bifenthrin Técnico 980 AGCN;bifentrina (piretróide) (980 g/kg);Inseticida;Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP; (Meghmani Organics Ltd. Unit I - Ankleshwar <ÍNDIA>FABRICANTE);PT;II
TC12520;Bifenthrin Técnico Betachem;bifentrina (piretróide) (980 g/kg);Inseticida;Acrom Agroindustrial Ltda- Londrina/PR; (Jiangsu Huangma Agrochemicals Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC08520;Bifenthrin Técnico Bharat;bifentrina (piretróide) (980 g/kg);Inseticida;Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.; (Bharat Rasayan Limited - Unit I - Rohtak <ÍNDIA>FABRICANTE) +  (Bharat Rasayan Limited - Unit I - Rohtak <ÍNDIA>FABRICANTE);PT;II
TC08320;Bifenthrin Técnico CCAB;bifentrina (piretróide) (980 g/kg);Acaricida/Formicida/Inseticida;CCAB Agro S.A.   São Paulo; (Bharat Rasayan Limited - Unit I - Rohtak <ÍNDIA>FABRICANTE) +  (Meghmani Organics Ltd. Unit I - Ankleshwar <ÍNDIA>FABRICANTE);PT;II
7506;Bifenthrin Técnico FMC;bifentrina (piretróide) (910 g/kg);Inseticida;FMC Química do Brasil Ltda. - Campinas/SP; (Zhejiang Lianhe Chemical Technology Co. LTD - Huangyan<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Jiangsu Lianhe Chemical Technology Co., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Viakem S.A. de C.V. - Unidade de San Nicolás de Los Garza<MÉXICO>FABRICANTE) +  (Adama Huifeng (Jiangsu) Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Youjia Crop Protection Co Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);II;II
TC20025;Bifenthrin Técnico Liwei;bifentrina (piretróide) (980 g/kg);Inseticida;Solagro Soluções Agrícolas Ltda - São Paulo/SP; (Guangdong Liwei Chemical Industry Co.,Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
TC09522;Bifenthrin Técnico NGC;bifentrina (piretróide) (980 g/kg);Acaricida/Formicida/Inseticida;NGC Agrosciences Brasil Ltda - Botucatu/SP; (Youjia Crop Protection Co Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
29319;Bifenthrin Técnico RTM;bifentrina (piretróide) (975 g/kg);Inseticida;Albaugh Agro Brasil Ltda.- São Paulo; (Jiangsu Chunjiang Runtian Agrochemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);II;II
9216;Bifenthrin Técnico Rotam;bifentrina (piretróide) (970 g/kg);Inseticida;Albaugh Agro Brasil Ltda.- São Paulo; (Jiangsu Chunjiang Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);II;II
TC13422;Bifenthrin Técnico SAU;bifentrina (piretróide) (980 g/kg);Acaricida/Formicida/Inseticida;Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda.; (Shandong United Pesticide Industry Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;II
